id,area,height,bld_perimeter_m,centroid_lon,centroid_lat,has_building_tag,area_numeric,height_numeric,pois_within_100m,pois_within_250m,pois_within_500m,roadlen_250m,bld_density_100m,area_to_perimeter_ratio,volume_estimate,population
0,55,6,643.9062242284417,56.24870193077362,58.09595935264851,1,55,6,0,0,0,0.0,0.08388998899223604,36.41466187263722,140685.76481627935,0.0
1,60,7,643.9376476928592,56.24695449188006,58.09861976953596,1,60,7,0,0,0,0.0,0.25165964045436584,36.41560101200662,164145.63543986192,0.0
2,63,3,643.8651154860854,56.28025819735908,58.09247823201457,1,63,3,0,0,0,0.0,0.16778898506606824,36.41343313504541,70336.01810146289,0.0
3,142,6,643.8567629121244,56.24279619057062,58.09177083016248,1,142,6,0,0,0,0.0,0.16779081526480155,36.4131834581558,140669.24679064014,0.0
4,93,3,643.70910914056,56.232678801589095,58.07926010693194,1,93,3,0,0,0,0.0,0.16782317544887695,36.40876868847943,70309.96828132373,0.0
5,230,5,643.7440156377852,56.23056715852036,58.082218684180646,1,230,5,0,0,0,0.0,0.0839077620618577,36.40981255707886,117192.99490261407,0.0
6,186,5,642.8405119236559,56.29752949162456,58.00545110928904,1,186,5,0,0,1,0.0,0.1680137924456415,36.382757034803,116941.55096914753,0.0
7,240,2,643.2578639648855,56.25032766149191,58.04096102541205,1,240,2,0,1,2,0.0,0.16792214892177265,36.3952641348009,46823.07980437019,0.0
8,204,7,643.905892804265,56.25259620360838,58.09593129081195,1,204,7,0,0,0,0.0,0.25167007589554574,36.41465196687535,164133.26315611473,0.0
9,127,2,643.5036271195859,56.291875188478684,58.06183214429203,1,127,2,0,0,1,0.0,0.25180234530013396,36.40262151304923,46850.43803342254,0.0
10,205,6,643.6025694143027,56.28644780644331,58.07022647391784,1,205,6,0,0,1,0.0,0.25176979908853175,36.405581948750125,140584.3567178647,0.0
11,178,2,643.7943769358099,56.24703053795176,58.08648613608207,1,178,2,0,0,0,0.0,0.2517067296221943,36.41131839751163,46882.804155097416,0.0
12,119,5,643.3204376921058,56.20950062834015,58.04627778242273,1,119,5,0,0,0,0.0,0.25186262609400345,36.39713792944974,117075.11369955345,0.0
13,174,6,643.426621593535,56.22598667265957,58.05529568157856,1,174,6,0,0,0,0.0,0.16788512094987432,36.40031681378672,140525.59745297674,36.58536585365854
14,90,3,643.2176163755357,56.22828576849207,58.03754027351893,1,90,3,0,0,0,0.0,0.16793098226295036,36.39405871239032,70227.89919482717,0.0
15,196,1,643.3428833596408,56.29453841852291,58.04818448277809,1,196,1,0,0,0,0.0,0.08395174617073455,36.39780998488639,23416.272060050946,0.0
16,172,8,642.9617230929434,56.28506274736692,58.015772904204624,1,172,8,0,0,1,0.0,0.08399358309799333,36.386391133400345,187160.4542132102,0.0
17,107,3,643.6486177965999,56.210797939847744,58.07413164189941,1,107,3,0,0,0,0.0,0.08391821824677212,36.4069594443987,70299.86748291316,36.58536585365854
18,127,9,643.0642493981868,56.216820706173586,58.02449802889771,1,127,9,0,0,0,306.2027423776608,0.08398232550288506,36.3894639612071,210606.8702814493,63.291139240506325
19,93,2,643.6087353881449,56.29972577154907,58.07074944283875,1,93,2,0,0,0,0.0,0.2517677711230932,36.405766409826875,46862.13863254129,0.0
20,118,3,642.918563876301,56.270670335614454,58.01209847621444,1,118,3,0,0,0,0.0,0.0839983229697667,36.38509731032926,70177.96363692434,94.9367088607595
21,141,8,642.9792160149664,56.27328414588862,58.017261935236725,1,141,8,0,0,0,0.0,0.0839916621263237,36.38691548515904,187168.24342589852,94.9367088607595
22,96,4,643.6897667329758,56.277331523833276,58.077620446176944,1,96,4,0,0,1,0.0,0.3356548310116872,36.40819021068383,93742.31800117232,82.1917808219178
23,112,3,643.183973936364,56.25340723277616,58.03468031178373,1,112,3,0,0,0,0.0,0.08396918332576137,36.393050999783235,70222.2816063072,0.0
24,127,8,643.1318637188524,56.206436364446105,58.0302493154449,1,127,8,0,0,0,0.0,0.08397490296512815,36.39148990200068,187236.21408456788,0.0
25,53,1,643.2928697001189,56.29521184249795,58.0439356209583,1,53,1,0,0,0,0.0,0.1679144667923101,36.396312440108126,23413.488312495607,0.0
26,83,8,643.2915115728974,56.223649245253384,58.04382022603359,1,83,8,0,0,1,0.0,0.16791476482491205,36.396271770843626,187307.30175584194,0.0
27,159,6,643.9280601628125,56.272168230114566,58.097808106843786,1,159,6,0,0,0,0.0,0.08388759702080859,36.4153144833963,140693.0571115648,0.0
28,98,2,643.3827625084668,56.22414932736134,58.05157151277295,1,98,2,0,0,0,0.0,0.08394737136245913,36.399003907913674,46836.98344645797,36.58536585365854
29,183,5,642.9114279504865,56.223042435164,58.01149086104014,1,183,5,0,0,0,0.0,0.08399910670960906,36.38488337345918,116961.28680913721,63.291139240506325
30,174,2,643.8733423650265,56.28917264239558,58.09317495550888,1,174,2,0,0,0,0.0,0.08389359122406925,36.41367904858593,46891.59454646807,0.0
31,126,6,643.9205086193979,56.22496612805842,58.09716877607211,1,126,6,0,0,0,0.0,0.16777684844658564,36.41508879535972,140690.53520966193,0.0
32,198,8,643.8666352946311,56.234600078346524,58.09260694453063,1,198,8,0,0,0,0.0,0.16778865205290217,36.41347856495383,187563.3916752278,0.0
33,89,2,643.7934768591076,56.27736603000237,58.08640987715229,1,89,2,0,0,0,0.0,0.1678046836722791,36.4112914866135,46882.70395901724,0.0
34,176,4,643.5809307768941,56.21701968882758,58.068391039760655,1,176,4,0,0,0,0.0,0.16785127747468873,36.40493458064375,93718.08687475031,36.58536585365854
35,211,8,643.4488854985684,56.26354007418284,58.0571858031784,1,211,8,0,0,0,0.0,0.08394011856609661,36.40098320718325,187377.3768969212,82.1917808219178
36,94,5,643.7456073872745,56.28726248138977,58.08235358298886,1,94,5,0,0,0,0.0,0.08390758761851179,36.409860155183395,117193.43788447061,0.0
37,78,2,643.7522000614554,56.27549465162561,58.08291228871657,1,78,2,0,0,1,0.0,0.2517205953614854,36.410057293494084,46878.109046921025,0.0
38,108,7,642.903358085081,56.27829434792473,58.010803692662236,1,108,7,0,0,0,0.0,0.16799998608360783,36.38464143112051,163742.65736621508,94.9367088607595
39,219,9,643.5918196700513,56.29750901043758,58.06931468610727,1,219,9,0,0,0,0.0,0.25177333471628727,36.40526035168528,210871.15012537525,0.0
40,202,7,643.8437028694898,56.28333563612556,58.090664673157576,1,202,7,0,0,1,0.0,0.2516905155518431,36.41279305141892,164109.03282521147,0.0
41,162,6,643.1459670942277,56.210236095873796,58.031448672307725,1,162,6,0,0,0,0.0,0.16794670979167095,36.39191243040566,140431.87050512162,0.0
42,52,4,643.8057164344937,56.2900191910594,58.08744683981319,1,52,4,0,0,1,0.0,0.33560400266381246,36.41165742449867,93768.1329246335,0.0
43,175,5,643.8264175001532,56.28795410724899,58.08920051456106,1,175,5,0,0,0,0.0,0.2516961972378476,36.412276311704105,117215.9272360121,0.0
44,232,9,643.0853660460562,56.22614107383171,58.02629445232747,1,232,9,0,0,0,0.0,0.08398000722710713,36.390096729060716,210617.4484066455,63.291139240506325
45,54,7,642.9393304549158,56.22266832426744,58.01386658412426,1,54,7,0,0,0,0.0,0.16799208451282938,36.38571987061631,163756.6728568393,63.291139240506325
46,104,9,643.2597824595869,56.26498159250439,58.041124063970166,1,104,9,0,0,0,306.2619504490828,0.08396086394164014,36.3953215902896,210704.82016600543,0.0
47,112,2,642.9563231877983,56.220324846032796,58.01531322425873,1,112,2,0,0,0,0.0,0.1679883522044081,36.386229264898574,46789.51243842736,63.291139240506325
48,210,8,643.7360767535865,56.2491064711127,58.08154585841114,1,210,8,0,0,0,0.0,0.08390863211256039,36.40957515701239,187505.25683399665,0.0
49,194,5,643.8277825377882,56.29402882138808,58.08931614513621,1,194,5,0,0,1,0.0,0.16779716569454972,36.412317120007735,117216.3071242482,0.0
50,52,9,643.3159497287124,56.29377880923474,58.04589651291763,1,52,9,0,0,0,0.0,0.08395470109247624,36.39700354762804,210732.95646826786,0.0
51,160,1,643.7616119738668,56.27660118362985,58.0837098793004,1,160,1,0,0,2,0.0,0.25171750104237295,36.4103387274515,23439.57838810903,0.0
